conversation_id,dialog_turn_counter,request_timestamp,response_timestamp,input.text,output.text,nodes_visited,branch_exited_reason,intent,intent_confidence,entities,prev_nodes_visited,conversation_start,message_start,message_end,dialog_turn_number,conversation_length
06b95513-a30c-47d6-9671-3915da729cd5,1.0,2021-05-02 19:37:16.313000+00:00,2021-05-02 19:37:16.342000+00:00,,"Hallo. Ich bin Lea und freue mich, von Ihnen zu hören!","('Willkommen',)",completed,,0.0,,,2021-05-02 19:37:16.313000+00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,1,10
06b95513-a30c-47d6-9671-3915da729cd5,2.0,2021-05-02 19:37:28.957000+00:00,2021-05-02 19:37:28.990000+00:00,test1234567890,,(),fallback,,0.0,"({'entity': 'Hausnummer', 'location': [4, 7], 'groups': [{'group': 'group_0', 'location': [4, 7]}], 'value': '1', 'confidence': 1}, {'entity': 'Hausnummer', 'location': [7, 10], 'groups': [{'group': 'group_0', 'location': [7, 10]}], 'value': '1', 'confidence': 1}, {'entity': 'Hausnummer', 'location': [10, 13], 'groups': [{'group': 'group_0', 'location': [10, 13]}], 'value': '1', 'confidence': 1})","('Willkommen',)",2021-05-02 19:37:16.313000+00:00,0 days 00:00:00.029000000,0 days 00:00:12.644000000,2,10
06b95513-a30c-47d6-9671-3915da729cd5,3.0,2021-05-02 19:37:40.185000+00:00,2021-05-02 19:37:40.250000+00:00,hallo?,Wie kann ich Ihnen helfen?,"('node_6_1616420354968',)",completed,General_Greetings,0.8472726821899415,,(),2021-05-02 19:37:16.313000+00:00,0 days 00:00:12.677000000,0 days 00:00:23.872000000,3,10
06b95513-a30c-47d6-9671-3915da729cd5,4.0,2021-05-02 19:37:56.362000+00:00,2021-05-02 19:37:56.424000+00:00,ich möchte meine adresse ändern lassen in ihrem system,Dabei kann ich Ihnen gerne helfen! Möchten Sie Ihre Adresse ändern?,"('node_4_1616254197330',)",,Customer_Care_User_newAddress,0.9651786804199218,"({'entity': 'Strasse', 'location': [32, 38], 'value': 'Lassen', 'confidence': 1}, {'entity': 'Ort', 'location': [32, 38], 'value': 'Lassen', 'confidence': 1})","('node_6_1616420354968',)",2021-05-02 19:37:16.313000+00:00,0 days 00:00:23.937000000,0 days 00:00:40.049000000,4,10
06b95513-a30c-47d6-9671-3915da729cd5,5.0,2021-05-02 19:38:00.968000+00:00,2021-05-02 19:38:00.997000+00:00,ja,Geben Sie bitte Ihre Kundennummer ein!,"('node_10_1617382729227',)",,General_Positive_Feedback,0.9074244499206543,"({'entity': 'yes', 'location': [0, 2], 'value': 'ja', 'confidence': 1},)","('node_4_1616254197330',)",2021-05-02 19:37:16.313000+00:00,0 days 00:00:40.111000000,0 days 00:00:44.655000000,5,10
06b95513-a30c-47d6-9671-3915da729cd5,6.0,2021-05-02 19:38:05.546000+00:00,2021-05-02 19:38:05.578000+00:00,aaa,Diese Kundennummer gibt es nicht! Geben Sie die Kundennummer bitte erneut ein.,"('node_9_1617383057242',)",,,0.0,,"('node_10_1617382729227',)",2021-05-02 19:37:16.313000+00:00,0 days 00:00:44.684000000,0 days 00:00:49.233000000,6,10
06b95513-a30c-47d6-9671-3915da729cd5,7.0,2021-05-02 19:38:15.992000+00:00,2021-05-02 19:38:16.052000+00:00,ich weiß meine kundennummer leider nicht,Diese Kundennummer gibt es nicht! Geben Sie die Kundennummer bitte erneut ein.,"('node_9_1617383057242',)",,General_Negative_Feedback,0.43760318756103517,,"('node_9_1617383057242',)",2021-05-02 19:37:16.313000+00:00,0 days 00:00:49.265000000,0 days 00:00:59.679000000,7,10
06b95513-a30c-47d6-9671-3915da729cd5,8.0,2021-05-02 19:38:22.401000+00:00,2021-05-02 19:38:22.451000+00:00,auf wiedersehen,Diese Kundennummer gibt es nicht! Geben Sie die Kundennummer bitte erneut ein.,"('node_9_1617383057242',)",,General_Ending,0.8135024070739747,,"('node_9_1617383057242',)",2021-05-02 19:37:16.313000+00:00,0 days 00:00:59.739000000,0 days 00:01:06.088000000,8,10
06b95513-a30c-47d6-9671-3915da729cd5,9.0,2021-05-02 19:38:38.104000+00:00,2021-05-02 19:38:38.200000+00:00,können sie mir den kontakt zu einem mitarbeiter nennen?,Diese Kundennummer gibt es nicht! Geben Sie die Kundennummer bitte erneut ein.,"('node_9_1617383057242',)",,Customer_Care_Contact_Us,0.9419111251831056,,"('node_9_1617383057242',)",2021-05-02 19:37:16.313000+00:00,0 days 00:01:06.138000000,0 days 00:01:21.791000000,9,10
06b95513-a30c-47d6-9671-3915da729cd5,10.0,2021-05-02 19:38:44.426000+00:00,2021-05-02 19:38:44.469000+00:00,bye,Diese Kundennummer gibt es nicht! Geben Sie die Kundennummer bitte erneut ein.,"('node_9_1617383057242',)",,General_Ending,1.0,,"('node_9_1617383057242',)",2021-05-02 19:37:16.313000+00:00,0 days 00:01:21.887000000,0 days 00:01:28.113000000,10,10
078faff6-d77d-4a65-8528-b79ef5e2e897,1.0,2021-05-01 18:46:04.858000+00:00,2021-05-01 18:46:04.879000+00:00,,"Hallo. Ich bin Lea und freue mich, von Ihnen zu hören!","('Willkommen',)",completed,,0.0,,,2021-05-01 18:46:04.858000+00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,1,6
078faff6-d77d-4a65-8528-b79ef5e2e897,2.0,2021-05-01 18:46:07.370000+00:00,2021-05-01 18:46:07.411000+00:00,servus,Bis bald!,"('node_2_1618232685966',)",,General_Ending,1.0,,"('Willkommen',)",2021-05-01 18:46:04.858000+00:00,0 days 00:00:00.021000000,0 days 00:00:02.512000000,2,6
078faff6-d77d-4a65-8528-b79ef5e2e897,3.0,2021-05-01 18:46:19.228000+00:00,2021-05-01 18:46:19.286000+00:00,"hey, ich will noch nicht gehen!",Wie kann ich Ihnen helfen?,"('node_6_1616420354968',)",completed,General_Greetings,0.7657908439636232,"({'entity': 'Strasse', 'location': [9, 13], 'value': 'Wöll', 'confidence': 0.7},)","('node_2_1618232685966',)",2021-05-01 18:46:04.858000+00:00,0 days 00:00:02.553000000,0 days 00:00:14.370000000,3,6
078faff6-d77d-4a65-8528-b79ef5e2e897,4.0,2021-05-01 18:46:50.144000+00:00,2021-05-01 18:46:50.189000+00:00,let us check if you speak english!,Schönen Tag noch!,"('node_2_1618232685966',)",,General_Ending,0.6793716907501222,"({'entity': 'Strasse', 'location': [20, 25], 'value': 'Sperken', 'confidence': 0.7},)","('node_6_1616420354968',)",2021-05-01 18:46:04.858000+00:00,0 days 00:00:14.428000000,0 days 00:00:45.286000000,4,6
